dx,TERM,CHAPTER,BLOCK
R000,"Tachycardia, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R02,"Gangrene, not elsewhere classified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R066,Hiccough,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R101,Pain localized to upper abdomen,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R11,Nausea and vomiting,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R17,Unspecified jaundice,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R55,Syncope and collapse,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R58,"Haemorrhage, not elsewhere classified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R789,"Finding of unspecified substance, not normally found in blood","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
R91,Abnormal findings on diagnostic imaging of lung,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
T814,"Infection following a procedure, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
T825,Mechanical complication of other cardiac and vascular devices and implants,"Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
T828,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
A048,Other specified bacterial intestinal infections,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
J849,"Interstitial pulmonary disease, unspecified",Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
R233,Spontaneous ecchymoses,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the skin and subcutaneous tissue
E278,Other specified disorders of adrenal gland,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
K294,Chronic atrophic gastritis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
M4989,Spondylopathy in other diseases classified elsewhere: Site unspecified,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
B955,Unspecified streptococcus as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
E780,Pure hypercholesterolaemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
K589,Irritable bowel syndrome without diarrhoea,Diseases of the digestive system,Other diseases of intestines
N820,Vesicovaginal fistula,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
A408,Other streptococcal sepsis,Certain infectious and parasitic diseases,Other bacterial diseases
A428,Other forms of actinomycosis,Certain infectious and parasitic diseases,Other bacterial diseases
A521,Symptomatic neurosyphilis,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission
A809,"Acute poliomyelitis, unspecified",Certain infectious and parasitic diseases,Viral infections of the central nervous system
B965,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
C189,"Malignant neoplasm of colon, unspecified",Neoplasms,Malignant neoplasms
C37,Malignant neoplasm of thymus,Neoplasms,Malignant neoplasms
C718,Malignant neoplasm of overlapping lesion of brain,Neoplasms,Malignant neoplasms
C812,Mixed cellularity (classical) Hodgkin lymphoma,Neoplasms,Malignant neoplasms
C851,"B-cell lymphoma, unspecified",Neoplasms,Malignant neoplasms
D34,Benign neoplasm of thyroid gland,Neoplasms,Benign neoplasms
D371,Benign neoplasm of stomach,Neoplasms,Neoplasms of uncertain or unknown behaviour
D45,Polycythaemia vera,Neoplasms,Neoplasms of uncertain or unknown behaviour
D473,Essential (haemorrhagic) thrombocythaemia,Neoplasms,Neoplasms of uncertain or unknown behaviour
D551,Anaemia due to other disorders of glutathione metabolism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D582,Other haemoglobinopathies,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D648,Other specified anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D684,Acquired coagulation factor deficiency,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D695,Secondary thrombocytopenia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D735,Infarction of spleen,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D763,Other histiocytosis syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
E069,"Thyroiditis, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E079,"Disorder of thyroid, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E114,"Type 2 diabetes mellitus, with neurological complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E142,"Unspecified diabetes mellitus, with renal complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E211,"Secondary hyperparathyroidism, not elsewhere classified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E212,Other hyperparathyroidism,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E271,Primary adrenocortical insufficiency,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E662,Extreme obesity with alveolar hypoventilation,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation
E724,Disorders of ornithine metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E778,Other disorders of glycoprotein metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E782,Mixed hyperlipidaemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F151,Mental and behavioral disorders due to use of other stimulants including caffeine: Harmful use,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F331,"Recurrent depressive disorder, current episode moderate",Mental and behavioural disorders,Mood [affective] disorders
F522,Failure of genital response,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
G301,Alzheimer's disease with late onset,Diseases of the nervous system,Other degenerative diseases of the nervous system
G318,Other specified degenerative diseases of the nervous system,Diseases of the nervous system,Other degenerative diseases of the nervous system
G470,Disorders of initiating and maintaining sleep [insomnias],Diseases of the nervous system,Episodic and paroxysmal disorders
G632,Diabetic polyneuropathy (E10-E14+ with common fourth character .4),Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G992,Myelopathy in diseases classified elsewhere,Diseases of the nervous system,Other disorders of the nervous system
H259,"Senile cataract, unspecified",Diseases of the eye and adnexa,Disorders of lens
H332,Serous retinal detachment,Diseases of the eye and adnexa,Disorders of choroid and retina
H358,Other specified retinal disorders,Diseases of the eye and adnexa,Disorders of choroid and retina
H813,Other peripheral vertigo,Diseases of the ear and mastoid process,Diseases of inner ear
H903,"Sensorineural hearing loss, bilateral",Diseases of the ear and mastoid process,Other disorders of ear
I131,Hypertensive heart and renal disease with renal failure,Diseases of the circulatory system,Hypertensive diseases
I358,Other aortic valve disorders,Diseases of the circulatory system,Other forms of heart disease
I425,Other restrictive cardiomyopathy,Diseases of the circulatory system,Other forms of heart disease
I447,"Left bundle-branch block, unspecified",Diseases of the circulatory system,Other forms of heart disease
I459,"Conduction disorder, unspecified",Diseases of the circulatory system,Other forms of heart disease
